﻿Stedtype;StedID;Stedtekst;Referencer;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetagning;Prøve;Prøvetype;Dybde (m);Faktiske dybder (m);Delprøve;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Detektionsgrænse LD;Kvantifikationsgrænse LQ;Kvalitetsmærke
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;11-10-2005;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/f6f79bc0-37cb-4649-ac66-f8168135198c;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,48666666666666664;"0,2; 0,42; 0,84";1;Opløst - filtrat fra filtrering;;329;Silicium; =;0,102;mg/l;9999999;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;16-05-1979;1;Vandkemi, Sø;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/957b2969-6cec-4049-8fdf-89eb2df92cfd;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Enkeltprøve;0,1;0,1;1;Total;;1039;Chlorophyl (ukorrigeret); =;79,4;µg/l;9999999;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;02-06-2022;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/8835e8f1-6ab9-4a70-b332-b70dcecbf285;Aktivitetssted;32;693897,9998364563;6209574,003611643;1;1;Blandingsprøve;0,6;"0,2; 1";1;Partikelbundet - fra filteret;;32;Suspenderede stoffer; =;37;mg/l;1;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;09-06-1988;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/b3ce0ba5-088b-45ec-9ff2-23fdb9f94b79;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Enkeltprøve;0,2;0,2;1;Total;;1039;Chlorophyl (ukorrigeret); =;65;µg/l;9999999;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;04-06-2012;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/704a715e-5579-40a7-b960-75d62296b33b;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,4;"0,2; 0,6";1;Opløst - filtrat fra filtrering;;25;Farvetal-Pt; =;26;mg Pt/l;1;;3
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;29-08-2016;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/abd13efc-27d7-451e-95ed-ef73e6d7fe0b;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,5666666666666667;"0,2; 1; 0,5";1;Total;;53;Alkalinitet,total TA; =;2,7;mmol/l;0,05;;3
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;10-10-1991;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/953c6b9e-fe21-4397-b933-4c6e61eb0d2b;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,5666666666666667;"0,2; 0,5; 1";1;Total;;5;Konduktivitet; =;48,6;mS/m;9999999;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;04-05-1976;1;Vandkemi, Sø;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0f4196c9-6e0c-4b46-a6cd-1fb71bebd68d;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;2;Enkeltprøve;1,5;1,5;1;Total;;183;COD, Kemisk iltforbrug; =;92;mg/l;9999999;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;09-04-1985;1;Vandkemi, Sø;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/5a17a005-3d28-4e92-b9f5-a6559d7dc510;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Enkeltprøve;0;0;1;Total;;261;Phosphor, total-P; =;1,03;mg/l;9999999;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;06-06-1986;1;Vandkemi, Sø;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/bac14965-f0d0-45f9-b192-dc336505db79;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Enkeltprøve;0;0;1;Opløst - filtrat fra filtrering;;241;Ammoniak+ammonium-N; =;0,01;mg/l;9999999;;2
