﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Type;Medie;Vandområde;Dataejer;Ansvarlig Myndighed;Link;Dato;Måling nr;Undersøgelsestype;Målested type;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetype;Status;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Kvantifikationsgrænse;Detektionsgrænse;Kvalitetsmærke
Renseanlæg;E2E97135-BC29-46BE-BDDE-964EA4E0FADF;Helsinge;32;699118,0000002016;6211852,999989004;Gribskov;Region Hovedstaden;Renseanlæg;Renseanlæg;Ammendrup Å;GRIBVAND A/S;Gribskov kommune;https://puls.miljoeportal.dk/wwtps/e2e97135-bc29-46be-bdde-964ea4e0fadf/examination-details/206a9fdf-0990-4690-b0ad-85baaa314ba4;11-09-1996;865495724;;Udløb;Helsinge Afløb;32;699078,0000002024;6211742,999989019;Mængdeproportional prøve;Godkendt;Total;;183;Kemisk iltforbrug;;35;mg/l;;-1;2
Renseanlæg;E2E97135-BC29-46BE-BDDE-964EA4E0FADF;Helsinge;32;699118,0000002016;6211852,999989004;Gribskov;Region Hovedstaden;Renseanlæg;Renseanlæg;Ammendrup Å;GRIBVAND A/S;Gribskov kommune;https://puls.miljoeportal.dk/wwtps/e2e97135-bc29-46be-bdde-964ea4e0fadf/examination-details/433c275a-2412-4199-acc0-38e6c766ecf7;06-05-2014;2014833175;;Indløb;Helsinge Tilløb;32;699118,0000002016;6211852,999989004;Mængdeproportional prøve;Godkendt;Total;;241;Ammoniak+ammonium-N;;30;mg/l;;0,003;2
Renseanlæg;E2E97135-BC29-46BE-BDDE-964EA4E0FADF;Helsinge;32;699118,0000002016;6211852,999989004;Gribskov;Region Hovedstaden;Renseanlæg;Renseanlæg;Ammendrup Å;GRIBVAND A/S;Gribskov kommune;https://puls.miljoeportal.dk/wwtps/e2e97135-bc29-46be-bdde-964ea4e0fadf/examination-details/d3c8b94e-9d4b-4780-aa1d-2221ee69d328;09-09-1993;363290287;;Udløb;Helsinge Afløb;32;699078,0000002024;6211742,999989019;Mængdeproportional prøve;Godkendt;Ej oplyst;;176;BI5 modificeret ;<;2;mg/l;;1;2
Renseanlæg;E2E97135-BC29-46BE-BDDE-964EA4E0FADF;Helsinge;32;699118,0000002016;6211852,999989004;Gribskov;Region Hovedstaden;Renseanlæg;Renseanlæg;Ammendrup Å;GRIBVAND A/S;Gribskov kommune;https://puls.miljoeportal.dk/wwtps/e2e97135-bc29-46be-bdde-964ea4e0fadf/examination-details/65ebee15-4e5a-4521-be2a-29d359a3b3c1;27-11-2011;2023150766;;Indløb;Helsinge Tilløb;32;699118,0000002016;6211852,999989004;Ikke oplyst;Godkendt;Total;;261;Phosphor, total-P;;4,54;mg/l;;-1;2
Renseanlæg;E2E97135-BC29-46BE-BDDE-964EA4E0FADF;Helsinge;32;699118,0000002016;6211852,999989004;Gribskov;Region Hovedstaden;Renseanlæg;Renseanlæg;Ammendrup Å;GRIBVAND A/S;Gribskov kommune;https://puls.miljoeportal.dk/wwtps/e2e97135-bc29-46be-bdde-964ea4e0fadf/examination-details/52c93d08-1383-4df1-9dfe-a2ad8393ffb1;26-06-2019;1789951979;;Indløb;Helsinge Tilløb;32;699118,0000002016;6211852,999989004;Ikke oplyst;Godkendt;Total;;176;BI5 modificeret ;;230;mg/l;;1;2
Renseanlæg;E2E97135-BC29-46BE-BDDE-964EA4E0FADF;Helsinge;32;699118,0000002016;6211852,999989004;Gribskov;Region Hovedstaden;Renseanlæg;Renseanlæg;Ammendrup Å;GRIBVAND A/S;Gribskov kommune;https://puls.miljoeportal.dk/wwtps/e2e97135-bc29-46be-bdde-964ea4e0fadf/examination-details/82c781c7-3ec0-4981-8426-602c02a62a88;17-03-1998;1647136139;;Udløb;Helsinge Afløb;32;699078,0000002024;6211742,999989019;Mængdeproportional prøve;Godkendt;Ej oplyst;;176;BI5 modificeret ;<;1;mg/l;;1;2
Renseanlæg;E2E97135-BC29-46BE-BDDE-964EA4E0FADF;Helsinge;32;699118,0000002016;6211852,999989004;Gribskov;Region Hovedstaden;Renseanlæg;Renseanlæg;Ammendrup Å;GRIBVAND A/S;Gribskov kommune;https://puls.miljoeportal.dk/wwtps/e2e97135-bc29-46be-bdde-964ea4e0fadf/examination-details/d3c8b94e-9d4b-4780-aa1d-2221ee69d328;09-09-1993;363290287;;Udløb;Helsinge Afløb;32;699078,0000002024;6211742,999989019;Mængdeproportional prøve;Godkendt;Ej oplyst;;253;Nitrogen, total N;;2,6;mg/l;;-1;2
Renseanlæg;E2E97135-BC29-46BE-BDDE-964EA4E0FADF;Helsinge;32;699118,0000002016;6211852,999989004;Gribskov;Region Hovedstaden;Renseanlæg;Renseanlæg;Ammendrup Å;GRIBVAND A/S;Gribskov kommune;https://puls.miljoeportal.dk/wwtps/e2e97135-bc29-46be-bdde-964ea4e0fadf/examination-details/b885d1ca-f3cb-47e1-9f6e-76b02c931198;09-12-2014;533323814;;Indløb;Helsinge Tilløb;32;699118,0000002016;6211852,999989004;Mængdeproportional prøve;Godkendt;Total;;253;Nitrogen, total N;;46,6;mg/l;;0,5;2
Renseanlæg;E2E97135-BC29-46BE-BDDE-964EA4E0FADF;Helsinge;32;699118,0000002016;6211852,999989004;Gribskov;Region Hovedstaden;Renseanlæg;Renseanlæg;Ammendrup Å;GRIBVAND A/S;Gribskov kommune;https://puls.miljoeportal.dk/wwtps/e2e97135-bc29-46be-bdde-964ea4e0fadf/examination-details/1914c581-07a1-424b-9762-75ee287d842e;20-12-2017;1041242467;;Indløb;Helsinge Tilløb;32;699118,0000002016;6211852,999989004;Ikke oplyst;Godkendt;Total;;183;Kemisk iltforbrug;;340;mg/l;;5;2
Renseanlæg;E2E97135-BC29-46BE-BDDE-964EA4E0FADF;Helsinge;32;699118,0000002016;6211852,999989004;Gribskov;Region Hovedstaden;Renseanlæg;Renseanlæg;Ammendrup Å;GRIBVAND A/S;Gribskov kommune;https://puls.miljoeportal.dk/wwtps/e2e97135-bc29-46be-bdde-964ea4e0fadf/examination-details/f5b2b905-7e8a-45e5-b5ca-ed78f6249248;01-02-2024;1987747190;;Udløb;Helsinge Afløb;32;699078,0000002024;6211742,999989019;Ikke oplyst;Godkendt;Total;;183;Kemisk iltforbrug;;22;mg/l;;5;2
Renseanlæg;E2E97135-BC29-46BE-BDDE-964EA4E0FADF;Helsinge;32;699118,0000002016;6211852,999989004;Gribskov;Region Hovedstaden;Renseanlæg;Renseanlæg;Ammendrup Å;GRIBVAND A/S;Gribskov kommune;https://puls.miljoeportal.dk/wwtps/e2e97135-bc29-46be-bdde-964ea4e0fadf/examination-details/bd68178d-b3da-4d86-b454-f5adf762c301;29-11-2011;624818913;;Indløb;Helsinge Tilløb;32;699118,0000002016;6211852,999989004;Ikke oplyst;Godkendt;Ej oplyst;;176;BI5 modificeret ;;150;mg/l;;-1;2
